,"운전압력(최상단 압력,kPa)",흡수탑 단수,흡수탑 가격,흡수탑 상부 스펙(kg/hr),dryer 가격,membrane feed(kg/hr),membrane 가격,가격 총합
0,1200,7,49000.0,32864.982,262919.856,30313.682,9094104.6,2.75676e+11
1,1100,9,63000.0,33072.958,264583.664,30307.089,9092126.7,2.75556e+11
2,1050,9,63000.0,33195.448,265563.584,30311.472,9093441.6,2.75636e+11
3,1000,10,70000.0,33323.471,266587.768,30310.478,9093143.4,2.75618e+11
4,950,11,77000.0,33461.453,267691.624,30310.56,9093168.0,2.75619e+11
5,900,11,77000.0,33610.622,268884.976,30316.288,9094886.4,2.75723e+11
6,850,13,91000.0,33770.037,270160.296,30323.138,9096941.4,2.75848e+11
7,tray당 가격,7000$,,,,,,nan
