
"운전압력(최상단 압력,kPa)",흡수탑 단수,흡수탑 가격,흡수탑 상부 스펙(kg/hr),dryer 가격,membrane feed(kg/hr),membrane 가격,가격 총합
1200,7,49000,32864.982,262919.856,30313.682,9094104.6,2.75676E+11
1100,9,63000,33072.958,264583.664,30307.089,9092126.7,2.75556E+11
1050,9,63000,33195.448,265563.584,30311.472,9093441.6,2.75636E+11
1000,10,70000,33323.471,266587.768,30310.478,9093143.4,2.75618E+11
950,11,77000,33461.453,267691.624,30310.56,9093168,2.75619E+11
900,11,77000,33610.622,268884.976,30316.288,9094886.4,2.75723E+11
850,13,91000,33770.037,270160.296,30323.138,9096941.4,2.75848E+11
